name,trained_model_name,base_model,validation_data_size,strategy,token_strategy,freeze_layers,max_input_token_length,max_output_token_length,epochs,num_beams,max_length,length_penalty,early_stopping,no_repeat_ngram_size,rouge1,rouge2,note
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,1.0,True,1,"Score(precision=0.09869307819130577, recall=0.40364059132721264, fmeasure=0.15266608304817564)","Score(precision=0.009650089969008485, recall=0.054613973590155435, fmeasure=0.015740500400919195)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,1.0,True,2,"Score(precision=0.2519673266721617, recall=0.2067294780349334, fmeasure=0.20921239210734222)","Score(precision=0.03293650793650793, recall=0.03290003390117806, fmeasure=0.030575184271992784)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,1.0,False,1,"Score(precision=0.09869307819130577, recall=0.40364059132721264, fmeasure=0.15266608304817564)","Score(precision=0.009650089969008485, recall=0.054613973590155435, fmeasure=0.015740500400919195)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,1.0,False,2,"Score(precision=0.2519673266721617, recall=0.2067294780349334, fmeasure=0.20921239210734222)","Score(precision=0.03293650793650793, recall=0.03290003390117806, fmeasure=0.030575184271992784)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,2.0,True,1,"Score(precision=0.09869307819130577, recall=0.40364059132721264, fmeasure=0.15266608304817564)","Score(precision=0.009650089969008485, recall=0.054613973590155435, fmeasure=0.015740500400919195)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,2.0,True,2,"Score(precision=0.2519673266721617, recall=0.2067294780349334, fmeasure=0.20921239210734222)","Score(precision=0.03293650793650793, recall=0.03290003390117806, fmeasure=0.030575184271992784)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,2.0,False,1,"Score(precision=0.09869307819130577, recall=0.40364059132721264, fmeasure=0.15266608304817564)","Score(precision=0.009650089969008485, recall=0.054613973590155435, fmeasure=0.015740500400919195)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,1,190,2.0,False,2,"Score(precision=0.2519673266721617, recall=0.2067294780349334, fmeasure=0.20921239210734222)","Score(precision=0.03293650793650793, recall=0.03290003390117806, fmeasure=0.030575184271992784)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,2,190,1.0,True,1,"Score(precision=0.10636565518257599, recall=0.42729480644755485, fmeasure=0.1641864239164919)","Score(precision=0.011901074463554371, recall=0.04465089364676185, fmeasure=0.018102134477518652)",
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 1,allenai/led-large-16384,10,Abstraction,,no,8000,196,,2,190,1.0,True,2,"Score(precision=0.2506355492251816, recall=0.1663048228583962, fmeasure=0.1824516934111125)","Score(precision=0.04414565826330532, recall=0.030777710706305056, fmeasure=0.032786190663485315)",
