name,trained_model_name,base_model,validation_data_size,strategy,token_strategy,freeze_layers,max_input_token_length,max_output_token_length,epochs,num_beams,max_length,length_penalty,early_stopping,no_repeat_ngram_size,rouge1,rouge2,note
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,2,196,0.5,True,2,"Score(precision=0.31685402416669545, recall=0.1710174002957318, fmeasure=0.20472013373025638)","Score(precision=0.057884319498397035, recall=0.030746779701773655, fmeasure=0.03683292129520678)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,2,196,2.0,True,2,"Score(precision=0.2796862016522335, recall=0.20357247158188216, fmeasure=0.21749731938774344)","Score(precision=0.05130489114669762, recall=0.03777819205809786, fmeasure=0.03988454464315627)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,3,196,0.5,True,2,"Score(precision=0.3199489939905267, recall=0.16610647700572434, fmeasure=0.20353531615293008)","Score(precision=0.060007011463267576, recall=0.028036931413897855, fmeasure=0.035330778422538)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,2,196,0.5,True,3,"Score(precision=0.31126349231632033, recall=0.18513101473301363, fmeasure=0.21084273991916389)","Score(precision=0.06299677628630992, recall=0.03782948574643011, fmeasure=0.042413861824131205)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,2,196,2.0,True,3,"Score(precision=0.24946052980137906, recall=0.2411696327094664, fmeasure=0.2233884027829917)","Score(precision=0.04918247594180655, recall=0.04889803682647137, fmeasure=0.04409094797942191)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,3,196,0.5,True,3,"Score(precision=0.32450349440680337, recall=0.17042747413910328, fmeasure=0.20417387005894477)","Score(precision=0.06455965751076564, recall=0.03368349798102992, fmeasure=0.03934144479030046)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,3,196,2.0,True,3,"Score(precision=0.25488193061218406, recall=0.24133743517371592, fmeasure=0.2266432438725564)","Score(precision=0.04962297337074802, recall=0.04755907386177175, fmeasure=0.04407282875136803)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,4,196,0.5,True,3,"Score(precision=0.3271800688240947, recall=0.1568663485407032, fmeasure=0.19651215800943356)","Score(precision=0.06165749136187563, recall=0.030269410924595272, fmeasure=0.0379409715389775)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,4,196,2.0,True,3,"Score(precision=0.256419959788862, recall=0.23451253339302688, fmeasure=0.22582947192627612)","Score(precision=0.04850087502243315, recall=0.04428807013977466, fmeasure=0.04275533914101755)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,5,196,0.5,True,3,"Score(precision=0.3246268007194093, recall=0.15388748841079522, fmeasure=0.19313796771777486)","Score(precision=0.06174493514808234, recall=0.029302043669793332, fmeasure=0.03679494862379339)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,5,196,2.0,True,3,"Score(precision=0.25647706778394597, recall=0.22485102830833104, fmeasure=0.22069775530551278)","Score(precision=0.05037798387176485, recall=0.044268859003795735, fmeasure=0.04338628365361239)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,,no,8000,196,,6,196,0.5,True,3,"Score(precision=0.3357348530871564, recall=0.14985630514608217, fmeasure=0.19215445326348535)","Score(precision=0.06488486832813828, recall=0.027832026770505537, fmeasure=0.03623672772408136)","We are doing a sweep of the generator hyperparameters, with additional beam search"
e_l_longformer_8k_plain1_checkpoint-700,large led 8K configuration sweep 3,allenai/led-large-16384,100,Abstraction,None,no,8000,196,,6,196,2.0,True,3,"Score(precision=0.259844184603421, recall=0.2252329426178653, fmeasure=0.2188334729131785)","Score(precision=0.048083485166330375, recall=0.04166170396812695, fmeasure=0.040092735751000086)","We are doing a sweep of the generator hyperparameters, with additional beam search"
